comp,year,discp,seg,skname,nat,rank,order,tss,tes,tpcs,tded,tbv,pcs1f,pcs1j1,pcs1j2,pcs1j3,pcs1j4,pcs1j5,pcs1j6,pcs1j7,pcs1j8,pcs1j9,pcs1t,pcs2f,pcs2j1,pcs2j2,pcs2j3,pcs2j4,pcs2j5,pcs2j6,pcs2j7,pcs2j8,pcs2j9,pcs2t,pcs3f,pcs3j1,pcs3j2,pcs3j3,pcs3j4,pcs3j5,pcs3j6,pcs3j7,pcs3j8,pcs3j9,pcs3t,pcs4f,pcs4j1,pcs4j2,pcs4j3,pcs4j4,pcs4j5,pcs4j6,pcs4j7,pcs4j8,pcs4j9,pcs4t,pcs5f,pcs5j1,pcs5j2,pcs5j3,pcs5j4,pcs5j5,pcs5j6,pcs5j7,pcs5j8,pcs5j9,pcs5t,
owg,2018,1,0,Isadora WILLIAMS,BRA,17,2,55.74,29.83,25.91,0.00,27.83,0.80,6.25,6.00,6.75,6.50,5.75,6.75,6.75,7.00,6.75,6.54,0.80,6.00,5.50,6.75,6.50,5.50,6.50,6.50,6.75,6.25,6.29,0.80,6.25,6.25,7.25,6.75,5.75,7.00,6.75,6.75,6.75,6.64,0.80,6.25,5.75,6.75,6.75,5.75,6.75,6.50,6.75,6.50,6.46,0.80,6.00,6.00,7.25,7.00,6.00,6.50,6.75,6.50,6.50,6.46,
owg,2018,1,0,Emmi PELTONEN,FIN,18,10,55.28,28.48,27.80,-1.00,27.93,0.80,7.00,6.50,7.00,7.25,6.25,7.25,7.25,7.25,6.75,7.00,0.80,6.75,6.00,6.50,7.00,6.00,7.00,7.00,6.75,6.50,6.64,0.80,7.25,6.50,7.50,7.75,6.50,7.00,7.00,7.00,6.50,6.96,0.80,7.00,6.25,7.00,7.75,6.75,7.25,7.50,7.25,6.75,7.07,0.80,7.00,6.50,7.25,7.75,6.75,7.25,7.50,7.25,6.50,7.07,
owg,2018,1,0,Alexia PAGANINI,SUI,19,8,55.26,29.99,25.27,0.00,28.63,0.80,6.25,6.00,7.00,6.00,6.25,6.50,6.75,6.50,6.50,6.39,0.80,6.00,5.25,6.75,6.00,6.00,6.25,6.50,6.00,6.25,6.14,0.80,6.25,5.75,7.25,6.00,6.50,6.25,6.75,6.50,6.50,6.39,0.80,6.25,5.50,6.75,6.00,6.50,6.50,6.75,6.25,6.50,6.39,0.80,6.00,5.50,7.25,5.75,6.50,6.25,7.00,6.25,6.25,6.29,
owg,2018,1,0,Loena HENDRICKX,BEL,20,16,55.16,27.79,27.37,0.00,25.13,0.80,6.75,7.00,7.50,7.25,7.25,6.75,7.25,7.00,6.25,7.04,0.80,6.50,6.25,7.00,6.75,7.00,6.25,7.00,6.75,6.00,6.64,0.80,7.00,6.50,7.25,7.00,7.25,6.50,7.00,6.50,6.25,6.82,0.80,6.75,6.25,7.25,7.25,7.50,6.50,7.00,6.75,6.25,6.82,0.80,7.00,6.50,7.00,7.25,7.25,6.75,7.25,6.50,6.00,6.89,
owg,2018,1,0,Hanul KIM,KOR,21,5,54.33,29.41,24.92,0.00,28.39,0.80,6.50,6.50,7.25,6.00,6.75,6.50,6.00,6.00,6.25,6.36,0.80,6.00,6.25,7.00,5.50,6.50,6.00,5.50,5.75,6.00,6.00,0.80,6.25,6.75,7.50,5.75,6.50,6.25,5.75,6.25,6.50,6.32,0.80,6.50,6.75,7.25,5.50,6.75,6.00,5.75,6.00,6.25,6.29,0.80,6.25,6.50,7.25,5.50,6.75,6.00,5.75,6.00,6.00,6.18,
owg,2018,1,0,Mae Berenice MEITE,FRA,22,12,53.67,28.24,25.43,0.00,28.54,0.80,6.50,5.75,7.00,6.25,6.50,6.50,6.75,7.00,6.50,6.57,0.80,6.00,5.50,6.50,6.00,6.00,5.75,6.50,6.50,6.25,6.14,0.80,6.50,5.75,7.00,6.25,6.50,6.25,6.50,6.75,6.50,6.46,0.80,6.25,5.75,6.50,6.00,6.25,6.00,6.75,6.75,6.25,6.29,0.80,6.25,6.00,6.75,6.25,6.25,6.00,6.50,6.75,6.25,6.32,
owg,2018,1,0,Ivett TOTH,HUN,23,14,53.22,27.60,25.62,0.00,26.54,0.80,6.50,7.00,6.75,6.50,6.00,5.75,7.00,6.75,6.25,6.54,0.80,6.00,6.50,6.50,6.00,5.75,5.75,6.75,6.50,6.00,6.18,0.80,6.50,6.75,6.75,6.00,6.00,6.00,7.00,6.75,6.25,6.43,0.80,6.25,6.50,6.75,6.25,5.75,6.25,6.75,6.75,6.00,6.39,0.80,6.25,6.75,7.00,6.50,6.00,6.00,7.25,6.75,6.25,6.50,
owg,2018,1,0,Xiangning LI,CHN,24,7,52.46,27.27,26.19,-1.00,27.18,0.80,6.75,6.25,7.25,6.00,6.50,7.25,7.00,6.50,6.25,6.64,0.80,6.50,5.75,7.00,5.75,6.25,6.50,6.75,6.25,6.00,6.29,0.80,6.50,6.25,7.25,6.00,6.75,7.00,6.75,6.50,6.00,6.54,0.80,6.50,6.00,7.50,6.50,6.75,7.00,7.00,6.50,6.25,6.64,0.80,6.50,6.00,7.25,6.50,6.75,7.25,7.25,6.25,6.00,6.64,
owg,2018,1,0,Larkyn AUSTMAN,CAN,25,11,51.42,25.93,26.49,-1.00,27.33,0.80,6.50,5.75,7.75,6.50,7.00,6.50,6.50,7.25,6.75,6.71,0.80,6.25,6.00,7.25,5.75,6.75,6.25,6.00,6.50,6.50,6.32,0.80,6.50,6.25,8.00,6.75,7.00,6.25,6.00,7.00,6.50,6.61,0.80,6.50,6.50,7.50,6.75,7.25,6.50,6.25,7.00,6.50,6.71,0.80,6.25,6.50,8.00,6.75,7.25,6.75,6.00,7.00,6.75,6.75,
owg,2018,1,0,Diana NIKITINA,LAT,26,4,51.12,26.35,24.77,0.00,27.23,0.80,6.00,5.75,7.00,6.25,6.00,5.75,6.75,6.50,6.75,6.29,0.80,5.50,5.25,6.50,5.75,5.75,5.50,6.25,6.25,6.50,5.93,0.80,5.75,5.50,7.00,5.75,6.00,6.00,7.00,6.25,6.50,6.18,0.80,5.50,5.25,7.25,6.25,6.00,6.25,7.00,6.50,6.75,6.32,0.80,5.50,5.25,6.75,6.00,6.25,6.25,6.75,6.50,6.50,6.25,
